Gene Symbol,Gene ID,Median (Tumor),Median (Normal),Log2(Fold Change),adjp
KIDINS220,ENSG00000134313.14,9.465,37.38,-1.875,2.59E-52
GRHL1,ENSG00000134317.17,2.52,0.24,1.505,1.93E-31
ROCK2,ENSG00000134318.13,5.14,11.23,-0.994,1.50E-25
RSAD2,ENSG00000134321.11,8.705,2.77,1.364,1.21E-17
MYCN,ENSG00000134323.10,5.265,1.16,1.536,2.29E-16
LPIN1,ENSG00000134324.11,7.525,39.255,-2.239,1.02E-71
IAH1,ENSG00000134330.18,36.935,48.753,-0.391,2.61E-04
LDHA,ENSG00000134333.13,596.487,152.091,1.965,5.07E-45
SAA2,ENSG00000134339.8,2.425,0.695,1.015,6.14E-07
IL6ST,ENSG00000134352.19,9.72,34.959,-1.746,4.03E-55
FST,ENSG00000134363.11,3.53,4.905,-0.382,3.96E-02
NAV1,ENSG00000134369.15,3.565,3.145,0.139,5.26E-01
TIMM17A,ENSG00000134375.10,35.745,20.905,0.746,1.07E-19
ERN2,ENSG00000134398.12,0.3,0.01,0.364,6.39E-11
RPS15A,ENSG00000134419.15,1375.651,3436.799,-1.32,1.20E-30
RAX,ENSG00000134438.9,0.01,0,0.014,7.94E-03
NARS,ENSG00000134440.11,49.71,51.965,-0.063,1.00E+00
GRP,ENSG00000134443.9,0.26,0,0.333,1.87E-07
KIAA1468,ENSG00000134444.13,5.315,16.659,-1.484,4.48E-38
FBXO18,ENSG00000134452.19,39.926,51.646,-0.363,4.44E-06
RBM17,ENSG00000134453.15,74.464,98.165,-0.394,3.55E-04
IL2RA,ENSG00000134460.15,0.755,0.06,0.727,2.32E-15
IL15RA,ENSG00000134470.19,10.16,4.825,0.938,1.33E-05
HRH4,ENSG00000134489.6,0.01,0.04,-0.042,3.93E-22
TMEM241,ENSG00000134490.13,4.905,2.755,0.653,5.50E-09
KCTD1,ENSG00000134504.12,32.69,9.95,1.621,3.03E-31
SOX5,ENSG00000134532.15,1.875,2.8,-0.402,6.62E-03
RERG,ENSG00000134533.6,5.56,21.854,-1.801,1.32E-21
KLRD1,ENSG00000134539.16,0.42,0.375,0.046,5.92E-01
KLRC1,ENSG00000134545.13,0.16,0.09,0.09,5.54E-02
SPX,ENSG00000134548.9,1.165,0.13,0.938,1.84E-12
PRH2,ENSG00000134551.12,0.12,0.105,0.019,1.30E-01
LRP4,ENSG00000134569.9,1.095,6.644,-1.867,2.18E-17
MYBPC3,ENSG00000134571.10,0.01,0.105,-0.13,2.21E-30
FAM127A,ENSG00000134590.13,107.944,194.239,-0.842,3.15E-20
RAB33A,ENSG00000134594.4,0.54,0.9,-0.303,2.43E-11
SOX3,ENSG00000134595.7,0.01,0.04,-0.042,1.98E-01
RBMX2,ENSG00000134597.13,21.251,19.56,0.114,4.48E-01
STK26,ENSG00000134602.15,4.195,1.645,0.974,4.94E-16
FOLH1B,ENSG00000134612.11,0.02,0,0.029,3.98E-02
PIWIL4,ENSG00000134627.11,0.69,3.62,-1.451,3.93E-68
PUM1,ENSG00000134644.15,32.98,32.03,0.041,9.24E-01
SPOCD1,ENSG00000134668.12,0.41,0.295,0.123,6.82E-01
YARS,ENSG00000134684.10,35.864,33.569,0.093,6.78E-01
PHC2,ENSG00000134686.16,61.74,67.559,-0.128,4.00E-02
GNL2,ENSG00000134697.12,43.519,27.754,0.631,2.73E-10
HOOK1,ENSG00000134709.10,4.71,0.445,1.982,6.29E-68
ZCCHC11,ENSG00000134744.13,20.235,71.764,-1.777,1.22E-55
PRPF38A,ENSG00000134748.12,27.565,26.72,0.043,8.02E-01
RNF138,ENSG00000134758.13,13.185,10.61,0.289,1.20E-02
FHOD3,ENSG00000134775.15,1.16,6.049,-1.706,1.03E-39
TPGS2,ENSG00000134779.14,92.808,51.708,0.832,2.80E-12
SLC43A3,ENSG00000134802.17,29.61,26.775,0.14,6.39E-01
TIMM10,ENSG00000134809.8,39.85,23.845,0.717,4.09E-20
GIF,ENSG00000134812.7,0,0.07,-0.098,2.49E-29
FADS2,ENSG00000134824.13,31.614,19.437,0.674,2.77E-02
TMEM258,ENSG00000134825.13,222.266,170.78,0.378,8.19E-05
TCN1,ENSG00000134827.7,0.07,0.03,0.055,5.25E-02
TMEM165,ENSG00000134851.12,52.916,43.526,0.276,3.01E-02
PDGFRA,ENSG00000134853.11,3.03,148.775,-5.216,1.03E-127
GGACT,ENSG00000134864.10,3.2,2.235,0.377,7.15E-07
UBAC2,ENSG00000134882.15,47.454,36.156,0.383,1.52E-03
ERCC5,ENSG00000134899.17,12.375,46.941,-1.842,7.14E-68
TPP2,ENSG00000134900.11,12.345,27.095,-1.074,2.12E-35
KDELC1,ENSG00000134901.12,3.275,5.685,-0.645,4.21E-09
STT3A,ENSG00000134910.12,77.474,79.395,-0.035,9.70E-01
ETS1,ENSG00000134954.14,5.955,17.689,-1.426,1.52E-27
SLC37A2,ENSG00000134955.11,2.58,1.045,0.808,1.48E-09
TMED7,ENSG00000134970.13,23.85,21.819,0.123,3.43E-01
NREP,ENSG00000134986.13,60.58,28.03,1.085,1.14E-10
WDR36,ENSG00000134987.11,4.225,8.265,-0.826,4.16E-20
OSTF1,ENSG00000134996.11,16.265,15.82,0.038,6.00E-01
RFK,ENSG00000135002.11,15.925,8.305,0.863,7.19E-17
UBQLN1,ENSG00000135018.13,31.24,33.946,-0.116,1.66E-01
NAA35,ENSG00000135040.15,7.44,10.139,-0.4,1.53E-04
TMEM2,ENSG00000135048.13,5.3,5.47,-0.038,9.93E-01
GOLM1,ENSG00000135052.16,29.113,28.734,0.018,3.39E-01
FAM189A2,ENSG00000135063.17,1.735,49.523,-4.207,9.13E-124
PSAT1,ENSG00000135069.13,62.154,2.55,4.153,9.34E-84
ISCA1,ENSG00000135070.13,21.47,24.189,-0.165,8.22E-02
HAVCR2,ENSG00000135077.8,4.705,0.885,1.598,1.89E-25
TAOK3,ENSG00000135090.13,7.33,15.22,-0.961,1.27E-25
USP30,ENSG00000135093.12,7.3,11.58,-0.6,1.24E-10
SDS,ENSG00000135094.10,6.23,0.345,2.426,1.50E-44
MSI1,ENSG00000135097.6,7.395,1.185,1.942,2.06E-19
HNF1A,ENSG00000135100.17,0.01,0,0.014,2.17E-01
FBXO21,ENSG00000135108.14,34.605,49.177,-0.495,5.53E-03
TBX3,ENSG00000135111.14,1.585,43.266,-4.098,4.43E-99
OASL,ENSG00000135114.12,6.705,0.22,2.659,1.07E-42
HRK,ENSG00000135116.9,0.515,0.01,0.585,4.98E-15
RNFT2,ENSG00000135119.14,4.925,0.96,1.596,8.08E-41
P2RX4,ENSG00000135124.14,18.105,21.875,-0.26,1.04E-01
TRAFD1,ENSG00000135148.11,13.33,17.925,-0.401,1.16E-05
TMEM243,ENSG00000135185.11,20.92,36.21,-0.763,9.71E-17
TMEM60,ENSG00000135211.5,22.4,13.28,0.713,1.66E-26
PNPLA8,ENSG00000135241.16,7.535,12.074,-0.615,3.27E-15
HILPDA,ENSG00000135245.9,17.535,16.515,0.082,1.57E-02
FAM71F1,ENSG00000135248.15,0.05,0.055,-0.007,6.46E-01
RINT1,ENSG00000135249.7,8.335,13.204,-0.606,4.77E-17
SRPK2,ENSG00000135250.16,15.47,14.325,0.104,8.93E-01
KCP,ENSG00000135253.13,0.895,0.05,0.852,4.25E-18
TES,ENSG00000135269.17,32.356,4.208,2.679,8.31E-63
MDFIC,ENSG00000135272.9,3.695,6.459,-0.668,2.13E-09
MTO1,ENSG00000135297.15,8.305,20.235,-1.19,3.13E-34
HTR1B,ENSG00000135312.5,0.03,0.2,-0.22,6.26E-21
KHDC1,ENSG00000135314.12,2.77,4.23,-0.472,7.52E-04
SYNCRIP,ENSG00000135316.17,32.919,28.625,0.195,1.16E-01
SNX14,ENSG00000135317.12,23.86,44.7,-0.878,6.01E-23
NT5E,ENSG00000135318.11,4.475,26.05,-2.305,1.12E-29
MRAP2,ENSG00000135324.5,0.85,0.915,-0.05,7.04E-01
EPHA7,ENSG00000135333.13,0.105,0.655,-0.583,1.45E-09
ORC3,ENSG00000135336.14,17.225,16.564,0.053,7.62E-01
LCA5,ENSG00000135338.13,1.72,4.1,-0.907,3.74E-24
MAP3K7,ENSG00000135341.17,8.69,17.505,-0.933,6.15E-25
PRR5L,ENSG00000135362.13,7.395,10.805,-0.492,2.71E-03
LMO2,ENSG00000135363.11,5.83,6.408,-0.117,4.53E-01
PHF21A,ENSG00000135365.15,14.225,31.135,-1.078,1.06E-27
NAT10,ENSG00000135372.8,19.04,27,-0.483,3.47E-05
PRRG4,ENSG00000135378.3,4.36,0.16,2.208,2.67E-67
PRPH,ENSG00000135406.13,0.71,1.035,-0.251,1.16E-01
GDF11,ENSG00000135414.9,10.365,4.37,1.082,4.57E-08
GLS2,ENSG00000135423.12,2.09,1.96,0.062,2.91E-01
ITGA7,ENSG00000135424.15,7.12,32.13,-2.029,1.16E-32
TESPA1,ENSG00000135426.14,0.35,2.83,-1.504,6.05E-77
FAM186B,ENSG00000135436.8,0.33,0.805,-0.441,7.78E-20
RDH5,ENSG00000135437.9,7.45,11.049,-0.512,1.05E-02
KRT85,ENSG00000135443.8,0,0.005,-0.007,3.40E-05
PPP1R1A,ENSG00000135447.16,1.78,7.73,-1.651,1.68E-18
TROAP,ENSG00000135451.12,28.255,0.795,4.027,5.82E-105
TSPAN31,ENSG00000135452.9,45.63,48.485,-0.086,3.80E-02
TFCP2,ENSG00000135457.9,15.525,15.515,0.001,7.83E-01
FAIM2,ENSG00000135472.8,1.31,2.435,-0.572,1.11E-01
PAN2,ENSG00000135473.14,16.54,128.688,-2.886,1.48E-82
ESPL1,ENSG00000135476.11,6.34,0.31,2.486,6.15E-65
KRT87P,ENSG00000135477.11,0.16,0,0.214,1.56E-12
KRT7,ENSG00000135480.14,364.872,1.13,7.425,3.60E-159
ZC3H10,ENSG00000135482.6,2.335,3.6,-0.464,7.29E-13
HNRNPA1,ENSG00000135486.17,595.537,1901.074,-1.673,1.20E-53
SLC26A10,ENSG00000135502.16,0.68,14.505,-3.206,5.48E-105
OS9,ENSG00000135506.15,92.094,174.767,-0.917,6.01E-27
MIP,ENSG00000135517.6,0.07,0,0.098,7.62E-09
KCNH3,ENSG00000135519.6,1.885,0.455,0.988,2.56E-11
LTV1,ENSG00000135521.8,10.43,19.36,-0.833,9.71E-22
MAP7,ENSG00000135525.18,8.675,1.215,2.127,6.45E-65
LACE1,ENSG00000135537.16,1.38,1.335,0.028,1.00E+00
NHSL1,ENSG00000135540.11,2.295,0.705,0.951,7.60E-21
HEY2,ENSG00000135547.8,9.455,5.059,0.787,6.07E-05
PKIB,ENSG00000135549.14,3.82,0.35,1.836,2.22E-40
NMBR,ENSG00000135577.4,0.03,0.04,-0.014,1.00E+00
SMPD2,ENSG00000135587.8,9.63,9.79,-0.022,6.55E-01
MICAL1,ENSG00000135596.17,4.73,20.499,-1.908,2.25E-54
REPS1,ENSG00000135597.18,16.995,35.429,-1.018,2.59E-23
STX11,ENSG00000135604.9,1.205,0.58,0.481,5.49E-06
TEC,ENSG00000135605.12,2.61,0.76,1.036,9.95E-24
PRADC1,ENSG00000135617.3,17.345,10.12,0.722,3.78E-09
SEMA4F,ENSG00000135622.12,3.145,5.515,-0.652,1.87E-15
RAB11FIP5,ENSG00000135631.15,7.72,16.425,-0.999,1.24E-22
SMYD5,ENSG00000135632.11,21.135,26.505,-0.313,1.03E-04
KCNMB4,ENSG00000135643.4,1.25,2.495,-0.635,4.37E-04
USP15,ENSG00000135655.13,14.6,44.47,-1.543,2.84E-79
GNS,ENSG00000135677.10,31.499,54.634,-0.776,1.04E-12
MDM2,ENSG00000135679.21,19.34,26.115,-0.415,1.22E-04
KLHL36,ENSG00000135686.12,7.98,24.055,-1.48,8.04E-46
MPHOSPH6,ENSG00000135698.9,11.525,15.13,-0.365,1.18E-04
KIAA0513,ENSG00000135709.12,0.9,2.21,-0.757,5.50E-19
FBXL8,ENSG00000135722.8,4.98,16.35,-1.537,1.64E-36
FHOD1,ENSG00000135723.13,8.85,44.321,-2.202,5.75E-70
SLC9A5,ENSG00000135740.16,0.35,2.265,-1.274,1.08E-78
ZNF670,ENSG00000135747.11,0.12,0.02,0.135,1.18E-16
PCNXL2,ENSG00000135749.18,9.085,11.745,-0.338,5.76E-05
KCNK1,ENSG00000135750.14,8.725,5.085,0.676,2.01E-04
URB2,ENSG00000135763.9,3.73,2.58,0.402,1.77E-05
NTPCR,ENSG00000135778.11,42.981,24.16,0.806,1.95E-14
TAF5L,ENSG00000135801.9,11.055,8.715,0.311,2.25E-03
GLUL,ENSG00000135821.16,205.749,1054.54,-2.352,6.01E-55
STX6,ENSG00000135823.13,10.01,8.98,0.142,9.26E-02
RGS8,ENSG00000135824.12,0.02,0.105,-0.115,3.58E-08
RNASEL,ENSG00000135828.11,1.525,7.82,-1.804,6.46E-80
KIAA1614,ENSG00000135835.10,0.88,5.705,-1.835,1.53E-76
NPL,ENSG00000135838.13,4.575,2.24,0.783,3.16E-09
FAM129A,ENSG00000135842.16,1.95,1.759,0.097,1.00E+00
PIGC,ENSG00000135845.9,33.03,26.051,0.331,2.46E-06
LAMC1,ENSG00000135862.5,52.565,35.55,0.551,2.48E-03
RC3H1,ENSG00000135870.11,3.195,5.07,-0.533,8.33E-13
GPR55,ENSG00000135898.9,0.08,0.02,0.082,8.51E-06
SP110,ENSG00000135899.16,15.055,18.844,-0.306,7.44E-04
MRPL44,ENSG00000135900.3,20.755,11.1,0.846,1.42E-24
TTLL4,ENSG00000135912.10,16.475,16.625,-0.012,5.59E-01
USP37,ENSG00000135913.10,2.085,4.395,-0.806,1.77E-23
HTR2B,ENSG00000135914.5,0.44,0.55,-0.106,1.89E-01
ITM2C,ENSG00000135916.15,90.296,70.945,0.344,6.87E-01
SLC19A3,ENSG00000135917.13,1.215,1.295,-0.051,2.39E-01
SERPINE2,ENSG00000135919.12,13.805,86.491,-2.563,2.55E-30
WNT10A,ENSG00000135925.8,22.294,0.09,4.418,3.15E-53
TMBIM1,ENSG00000135926.12,80.389,91.559,-0.186,6.14E-04
REV1,ENSG00000135945.9,10.1,37.551,-1.796,9.17E-63
TSGA10,ENSG00000135951.14,5.395,4.65,0.179,7.38E-02
MFSD9,ENSG00000135953.10,4.195,3.57,0.185,4.38E-03
TMEM127,ENSG00000135956.8,38.574,27.374,0.48,3.74E-04
TGFBRAP1,ENSG00000135966.12,6.255,6.86,-0.115,2.25E-01
GCC2,ENSG00000135968.19,6.815,17.32,-1.229,8.37E-36
MRPS9,ENSG00000135972.8,16.865,25.269,-0.556,1.11E-13
GPR45,ENSG00000135973.2,0.03,0,0.043,1.65E-01
EPC2,ENSG00000135999.11,10.315,24.235,-1.157,7.17E-33
ISCU,ENSG00000136003.15,78.142,164.209,-1.062,1.31E-41
STAB2,ENSG00000136011.14,0.045,0.62,-0.632,2.10E-48
USP44,ENSG00000136014.11,0.38,1.41,-0.804,2.44E-16
SCYL2,ENSG00000136021.17,10.455,11.174,-0.088,3.99E-01
PLXNC1,ENSG00000136040.8,2.43,10.015,-1.683,1.62E-39
PWP1,ENSG00000136045.11,23.935,27.11,-0.173,1.26E-02
KIAA1033,ENSG00000136051.13,5.635,20.735,-1.712,2.37E-65
SLC41A2,ENSG00000136052.9,3.575,3.065,0.171,1.90E-01
VILL,ENSG00000136059.14,4.495,9.034,-0.869,1.29E-09
FLNB,ENSG00000136068.14,47.256,74.829,-0.652,1.50E-10
NEK3,ENSG00000136098.16,4.005,16.045,-1.768,3.83E-65
VPS36,ENSG00000136100.12,8.365,26.135,-1.535,6.79E-59
RNASEH2B,ENSG00000136104.18,19.055,19.802,-0.053,1.00E+00
LECT1,ENSG00000136110.12,0.01,0,0.014,3.08E-01
TBC1D4,ENSG00000136111.12,2.12,30.079,-3.316,1.10E-130
THSD1,ENSG00000136114.15,0.52,1.76,-0.861,2.34E-32
LRCH1,ENSG00000136141.14,3.295,7.385,-0.965,2.10E-28
SUCLA2,ENSG00000136143.13,15.87,24.14,-0.575,5.27E-10
RCBTB1,ENSG00000136144.11,5.25,7.84,-0.5,1.79E-06
MED4,ENSG00000136146.14,28.115,34.676,-0.293,2.39E-02
PHF11,ENSG00000136147.16,22.285,44.951,-0.981,4.74E-30
RPL13AP25,ENSG00000136149.6,0.575,1.07,-0.394,9.61E-10
LMO7,ENSG00000136153.19,22.945,21.07,0.118,8.51E-01
SCEL,ENSG00000136155.16,1.6,0.11,1.228,7.65E-16
ITM2B,ENSG00000136156.12,906.365,944.069,-0.059,9.47E-02
SPRY2,ENSG00000136158.10,10.835,14.85,-0.421,3.41E-02
NUDT15,ENSG00000136159.3,14.22,7.72,0.804,6.94E-17
RCBTB2,ENSG00000136161.12,4.565,14.825,-1.508,2.75E-43
LCP1,ENSG00000136167.13,18.645,3.31,2.188,7.68E-31
SETDB2,ENSG00000136169.16,2.22,8.58,-1.573,4.48E-86
SCRN1,ENSG00000136193.16,17.505,21.794,-0.301,5.60E-02
TNS3,ENSG00000136205.16,24.175,31.074,-0.349,7.31E-02
SPDYE1,ENSG00000136206.3,0.33,0.31,0.022,7.32E-03
IGF2BP3,ENSG00000136231.13,1.68,0.03,1.38,1.79E-17
GPNMB,ENSG00000136235.15,35.54,35.774,-0.009,5.83E-01
RAPGEF5,ENSG00000136237.18,3.7,3.68,0.006,6.26E-01
RAC1,ENSG00000136238.17,210.051,116.569,0.844,1.86E-20
KDELR2,ENSG00000136240.9,111.418,57.545,0.941,2.69E-15
NUPL2,ENSG00000136243.16,21.625,23.429,-0.111,6.19E-01
IL6,ENSG00000136244.11,1.195,0.745,0.331,1.16E-01
ZDHHC4,ENSG00000136247.14,38.956,41.57,-0.091,5.86E-01
TBRG4,ENSG00000136270.13,38.96,42.385,-0.119,4.02E-01
HUS1,ENSG00000136273.11,10.185,8.415,0.249,5.82E-02
NACAD,ENSG00000136274.8,2.125,10.62,-1.895,5.69E-42
MYO1G,ENSG00000136286.14,1.67,0.485,0.846,4.62E-16
TTYH3,ENSG00000136295.14,31.904,14.435,1.092,9.27E-13
MMD2,ENSG00000136297.14,0,0.02,-0.029,3.69E-24
TTC5,ENSG00000136319.11,6.58,6.875,-0.055,1.00E+00
NKX2-8,ENSG00000136327.6,0.2,0,0.263,4.03E-08
NKX2-1,ENSG00000136352.17,0,0.02,-0.029,8.94E-01
ZFHX2,ENSG00000136367.13,1.645,0.565,0.757,5.32E-18
MTHFS,ENSG00000136371.9,23.85,11.85,0.952,7.77E-26
IREB2,ENSG00000136381.12,7.525,15.615,-0.963,6.54E-20
TM6SF1,ENSG00000136404.15,1.26,1.3,-0.025,1.00E+00
RSAD1,ENSG00000136444.9,9.94,45.335,-2.083,1.12E-85
NMT1,ENSG00000136448.11,104.814,40.401,1.354,2.32E-22
MYCBPAP,ENSG00000136449.13,0.43,8.45,-2.724,2.09E-108
SRSF1,ENSG00000136450.12,68.704,161.904,-1.225,9.27E-41
VEZF1,ENSG00000136451.8,23.63,28.4,-0.255,2.38E-01
TACO1,ENSG00000136463.7,14.07,10.215,0.426,1.92E-08
TEX2,ENSG00000136478.7,11.11,11.395,-0.034,3.05E-01
LIMD2,ENSG00000136490.8,23.075,9.19,1.24,3.78E-19
KAT7,ENSG00000136504.11,17.99,23.46,-0.365,2.13E-05
RTP4,ENSG00000136514.2,14.79,1.53,2.642,1.58E-43
NDUFB5,ENSG00000136521.12,143.962,51.642,1.461,6.89E-45
MRPL47,ENSG00000136522.13,50.364,15.58,1.631,1.22E-60
TRA2B,ENSG00000136527.17,101.247,97.778,0.05,1.00E+00
SCN2A,ENSG00000136531.13,0.07,0.235,-0.207,6.54E-04
Mar-07,ENSG00000136536.14,29.46,35.625,-0.266,5.07E-02
ERMN,ENSG00000136541.14,0.08,0.1,-0.026,8.92E-01
GALNT5,ENSG00000136542.8,0.26,0.05,0.263,7.13E-09
SCN7A,ENSG00000136546.13,0.09,32.19,-4.928,3.70E-281
TANK,ENSG00000136560.13,31.76,28.485,0.152,4.20E-02
GATA4,ENSG00000136574.17,0.57,89.551,-5.85,3.97E-112
SKIL,ENSG00000136603.13,12.85,8.225,0.586,1.86E-05
EPRS,ENSG00000136628.17,41.76,30.715,0.431,7.04E-05
HLX,ENSG00000136630.12,2.7,4.01,-0.437,8.26E-07
VPS45,ENSG00000136631.12,23.8,26.119,-0.129,9.39E-02
IL10,ENSG00000136634.5,1.29,0.465,0.645,1.24E-09
KCTD3,ENSG00000136636.12,12.325,23.065,-0.853,1.42E-16
RPS6KC1,ENSG00000136643.11,5.75,7.46,-0.326,3.46E-05
IL36G,ENSG00000136688.10,0.03,0,0.043,1.95E-03
IL1RN,ENSG00000136689.18,10.805,0.545,2.934,9.98E-58
IL36RN,ENSG00000136695.14,0.02,0.005,0.021,1.17E-01
SMPD4,ENSG00000136699.19,38.906,49.945,-0.352,3.34E-05
WDR33,ENSG00000136709.11,14.705,27.035,-0.836,6.23E-20
SAP130,ENSG00000136715.17,11.68,10.16,0.184,1.81E-01
IMP4,ENSG00000136718.9,61.139,44.395,0.453,2.50E-07
HS6ST1,ENSG00000136720.6,39.18,23.02,0.742,4.39E-08
UGGT1,ENSG00000136731.12,11.025,5.47,0.894,6.51E-17
GYPC,ENSG00000136732.14,17.665,89.765,-2.282,1.54E-54
STAM,ENSG00000136738.14,9.505,11.025,-0.195,2.04E-04
YME1L1,ENSG00000136758.18,36.738,38.945,-0.082,5.39E-01
NIPSNAP3A,ENSG00000136783.9,19.06,11.75,0.654,2.12E-13
LRRC8A,ENSG00000136802.11,13.01,17.57,-0.407,4.13E-05
TXN,ENSG00000136810.12,170.466,81.103,1.062,1.91E-25
ODF2,ENSG00000136811.16,15.355,21.034,-0.43,1.77E-02
KIAA0368,ENSG00000136813.14,20.835,46.064,-1.108,4.13E-29
TOR1B,ENSG00000136816.15,9.85,8.57,0.181,1.57E-01
SMC2,ENSG00000136824.18,5.19,2.585,0.788,8.44E-21
KLF4,ENSG00000136826.14,4.17,46.139,-3.189,1.30E-72
TOR1A,ENSG00000136827.11,22.465,17.06,0.378,2.37E-07
RALGPS1,ENSG00000136828.18,4.98,4.125,0.223,1.25E-02
FAM129B,ENSG00000136830.11,56.564,31.759,0.813,8.55E-10
ST6GALNAC4,ENSG00000136840.18,25.494,30.494,-0.249,8.41E-02
TMOD1,ENSG00000136842.13,24.965,48.302,-0.925,2.36E-08
STXBP1,ENSG00000136854.17,14.41,38.875,-1.372,3.38E-37
SLC2A8,ENSG00000136856.17,10.695,17.24,-0.641,3.43E-05
ZFP37,ENSG00000136866.13,0.76,4,-1.506,3.39E-75
SLC31A2,ENSG00000136867.10,3.285,4.255,-0.294,2.07E-03
SLC31A1,ENSG00000136868.10,8.025,4.625,0.682,2.68E-12
TLR4,ENSG00000136869.13,1.285,3.495,-0.976,1.99E-14
ZNF189,ENSG00000136870.10,4.835,10.665,-0.999,2.73E-24
STX17,ENSG00000136874.10,5.135,11.49,-1.026,1.72E-25
PRPF4,ENSG00000136875.12,14.745,15.34,-0.053,6.76E-01
FPGS,ENSG00000136877.14,56.332,122.989,-1.113,1.18E-26
USP20,ENSG00000136878.12,8.955,30.82,-1.676,1.29E-61
KIF12,ENSG00000136883.12,6.455,0.755,2.087,4.03E-30
TEX10,ENSG00000136891.13,12.405,16.31,-0.369,5.35E-03
GARNL3,ENSG00000136895.18,2.715,14.375,-2.049,8.67E-72
MRPL50,ENSG00000136897.7,6.74,8.41,-0.282,6.94E-03
WDR38,ENSG00000136918.7,0.82,0.04,0.807,1.33E-12
TSTD2,ENSG00000136925.14,4.925,15.9,-1.512,3.13E-40
GABBR2,ENSG00000136928.4,0.13,0.01,0.162,3.03E-06
HEMGN,ENSG00000136929.12,0,0.005,-0.007,4.52E-05
PSMB7,ENSG00000136930.12,111.484,101.04,0.141,1.20E-02
NR5A1,ENSG00000136931.9,0.615,35.95,-4.516,3.16E-80
RABEPK,ENSG00000136933.16,14.51,12.879,0.16,9.21E-03
GOLGA1,ENSG00000136935.13,5.045,10.75,-0.959,5.71E-30
XPA,ENSG00000136936.10,6.26,17.615,-1.358,2.74E-63
NCBP1,ENSG00000136937.12,7.52,12.11,-0.622,1.70E-09
PDCL,ENSG00000136940.13,8.85,5.405,0.621,5.98E-15
RPL35,ENSG00000136942.14,2445.984,2711.921,-0.149,2.37E-01
LMX1B,ENSG00000136944.17,0.05,0,0.07,1.58E-03
MYC,ENSG00000136997.14,58.31,67.116,-0.2,2.68E-02
NOV,ENSG00000136999.4,5.795,1.28,1.576,1.89E-20
IL33,ENSG00000137033.11,1.09,2.1,-0.569,1.93E-10
TMEM261,ENSG00000137038.7,42.299,32.414,0.374,7.59E-04
RANBP6,ENSG00000137040.9,3.39,4.545,-0.337,4.29E-04
POLR1E,ENSG00000137054.15,11.6,27.709,-1.188,1.89E-37
PLAA,ENSG00000137055.14,11.96,8.97,0.378,1.58E-04
IL11RA,ENSG00000137070.17,7.675,52.692,-2.63,3.77E-43
UBAP2,ENSG00000137073.20,18.06,18.45,-0.029,2.16E-01
RNF38,ENSG00000137075.17,10.965,19.17,-0.753,2.03E-11
TLN1,ENSG00000137076.18,86.641,157.28,-0.853,2.86E-16
SIT1,ENSG00000137078.8,1.37,0.13,1.069,1.37E-18
SPAG8,ENSG00000137098.13,1.755,5.9,-1.324,4.44E-21
TMEM8B,ENSG00000137103.16,9.625,37.689,-1.864,4.35E-57
GRHPR,ENSG00000137106.17,76.1,86.599,-0.184,2.13E-02
HINT2,ENSG00000137133.10,45.594,24.219,0.886,6.30E-22
IGFBPL1,ENSG00000137142.4,0.295,0,0.373,3.59E-06
RPS6,ENSG00000137154.12,2521.033,4517.784,-0.841,1.60E-13
FOXP4,ENSG00000137166.14,50.035,15.249,1.651,4.09E-26
PPIL1,ENSG00000137168.7,27.335,14.095,0.909,1.51E-16
KLC4,ENSG00000137171.14,15.49,38.892,-1.275,2.32E-36
KIF13A,ENSG00000137177.18,7.615,15.875,-0.97,1.11E-18
ZSCAN9,ENSG00000137185.11,6.99,13.124,-0.822,2.67E-19
PIM1,ENSG00000137193.13,16.225,44.246,-1.393,2.57E-26
GMPR,ENSG00000137198.9,41.85,50.2,-0.257,6.92E-01
TFAP2A,ENSG00000137203.10,10.145,0.33,3.067,5.00E-33
SLC22A7,ENSG00000137204.14,0.01,0.045,-0.049,8.23E-04
YIPF3,ENSG00000137207.11,152.984,88.095,0.789,1.12E-14
TMEM14B,ENSG00000137210.13,126.679,57.695,1.121,2.47E-29
TMEM63B,ENSG00000137216.18,20.25,14.635,0.443,2.45E-03
FRS3,ENSG00000137218.10,3.86,7.735,-0.846,1.03E-24
TJAP1,ENSG00000137221.14,20.79,42.114,-0.984,1.69E-25
HCRTR2,ENSG00000137252.9,0.02,0.06,-0.055,1.33E-01
KIAA0319,ENSG00000137261.13,0.14,0.03,0.146,5.64E-07
IRF4,ENSG00000137265.14,0.245,0.345,-0.111,2.49E-01
SLC22A23,ENSG00000137266.14,4.18,4.265,-0.023,9.70E-01
TUBB2A,ENSG00000137267.5,10.68,8.935,0.233,1.00E+00
LRRC1,ENSG00000137269.14,7.285,4.38,0.623,2.24E-05
GCM1,ENSG00000137270.10,0.01,0,0.014,7.88E-02
FOXF2,ENSG00000137273.3,0.575,0.095,0.524,6.16E-14
RIPK1,ENSG00000137275.13,9.4,8.305,0.16,1.04E-01
TUBB2B,ENSG00000137285.9,1.21,0.715,0.366,1.64E-03
UQCC2,ENSG00000137288.9,92.799,33.489,1.443,8.90E-32
HMGA1,ENSG00000137309.19,327.783,3.685,6.133,2.64E-171
TCF19,ENSG00000137310.11,8.39,4.854,0.682,2.05E-12
FLOT1,ENSG00000137312.14,153.808,108.544,0.499,9.17E-05
IER3,ENSG00000137331.11,43.286,19.667,1.099,7.67E-10
