Gene Symbol,Gene ID,Median (Tumor),Median (Normal),Log2(Fold Change),adjp
AC002128.5,ENSG00000271366.1,0.225,0,0.293,7.62E-14
AC002306.1,ENSG00000259242.2,0.03,0,0.043,3.59E-05
AC002310.10,ENSG00000260494.1,0.07,0,0.098,4.04E-03
AC002310.11,ENSG00000261459.1,0.48,1.495,-0.753,4.22E-09
AC002310.12,ENSG00000235560.3,2.065,1.44,0.329,9.46E-08
AC002310.14,ENSG00000278922.1,1.28,1.28,0,8.83E-01
AC002310.17,ENSG00000261588.1,0.23,0,0.299,2.27E-02
AC002310.7,ENSG00000239791.1,0.05,0,0.07,1.04E-03
AC002398.11,ENSG00000267439.1,0.1,0.525,-0.471,1.06E-53
AC002398.12,ENSG00000267328.1,0.71,14.83,-3.211,3.99E-66
AC002398.13,ENSG00000267049.1,1.485,1.975,-0.26,1.13E-01
AC002398.9,ENSG00000188223.9,10.435,5.31,0.858,1.60E-26
AC002400.1,ENSG00000261528.2,0.04,0.385,-0.413,4.43E-57
AC002429.5,ENSG00000236197.2,0.025,0,0.036,2.61E-06
AC002451.3,ENSG00000231170.5,0.565,0.805,-0.206,9.25E-02
AC002454.1,ENSG00000237819.5,0.37,0.26,0.121,8.09E-03
AC002456.2,ENSG00000223969.5,0.7,1.86,-0.75,1.79E-07
AC002467.7,ENSG00000241764.3,3.195,1.8,0.583,2.62E-12
AC002480.3,ENSG00000232759.1,0.03,0.05,-0.028,1.24E-01
AC002480.5,ENSG00000225541.1,0.025,0.03,-0.007,9.99E-02
AC002511.2,ENSG00000233214.1,0.125,0,0.17,1.99E-05
AC002511.3,ENSG00000232680.2,0.09,0,0.124,3.71E-07
AC002519.8,ENSG00000259810.2,0.01,0.03,-0.028,2.41E-02
AC002543.2,ENSG00000235945.1,0.01,0,0.014,1.51E-01
AC002550.5,ENSG00000261312.1,0.11,0,0.151,1.26E-07
AC002550.6,ENSG00000276571.1,0.89,1.56,-0.438,2.33E-11
AC002984.2,ENSG00000267005.1,0.08,0.17,-0.115,3.80E-02
AC002985.3,ENSG00000268193.5,0.08,0,0.111,1.24E-06
AC003002.6,ENSG00000269533.5,0.12,0.28,-0.193,9.93E-08
AC003003.5,ENSG00000188477.12,0.04,0,0.057,2.88E-09
AC003005.2,ENSG00000268266.1,0.05,0.039,0.015,6.96E-01
AC003006.7,ENSG00000269026.2,0.345,0.45,-0.108,5.21E-01
AC003075.4,ENSG00000237773.5,2.14,1.06,0.608,4.52E-14
AC003088.1,ENSG00000226965.1,0.05,0,0.07,7.13E-03
AC003090.1,ENSG00000223561.6,0.03,2.28,-1.671,3.68E-108
AC003104.1,ENSG00000236194.3,0.02,0.395,-0.452,6.37E-97
AC003682.16,ENSG00000268392.1,0,0.125,-0.17,1.49E-17
AC003973.1,ENSG00000269615.1,0.02,0.305,-0.355,1.97E-13
AC003973.3,ENSG00000279377.1,1.015,2.335,-0.727,2.31E-06
AC003986.6,ENSG00000232821.1,0.03,0.07,-0.055,1.51E-01
AC003986.7,ENSG00000236536.1,0,0.09,-0.124,1.16E-20
AC003991.3,ENSG00000228113.7,0.19,0.1,0.113,5.47E-02
AC004004.2,ENSG00000270317.1,0,0.845,-0.884,1.31E-66
AC004012.1,ENSG00000233942.1,0,0.24,-0.31,4.61E-34
AC004019.10,ENSG00000229492.1,0.01,0,0.014,9.36E-01
AC004019.13,ENSG00000236754.5,0.01,0.12,-0.149,2.53E-26
AC004022.8,ENSG00000228751.1,0,0.07,-0.098,5.36E-40
AC004051.2,ENSG00000246774.1,0,0.03,-0.043,1.54E-19
AC004057.1,ENSG00000196656.7,2924.754,1082.686,1.433,2.05E-24
AC004067.5,ENSG00000273447.1,0.755,1.15,-0.293,2.12E-03
AC004069.2,ENSG00000251259.1,0.25,0.94,-0.634,1.61E-31
AC004076.5,ENSG00000276449.1,0.25,0.42,-0.184,9.20E-02
AC004076.9,ENSG00000268163.1,0.33,0.36,-0.032,9.05E-01
AC004156.3,ENSG00000267666.2,0.08,0.16,-0.103,2.02E-06
AC004158.1,ENSG00000280264.1,0.06,0,0.084,9.66E-03
AC004158.3,ENSG00000260664.2,0.025,0,0.036,2.00E-04
AC004160.4,ENSG00000230435.1,0,0.205,-0.269,7.71E-32
AC004231.2,ENSG00000234477.1,0.03,0.06,-0.041,1.13E-01
